Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
Marshall 2004,,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite, montane, peat swamp","""…a pair of replicate census routes in each of the seven habitats…all census routes started at 5:30 am and ended at approximately 11:00 am…recorded the behavior (e.g., traveling, resting, feeding) of the individual first seen…could entail following the group for up to one hour...and continued the census...In addition to opportunistic sightings...during censuses, we routinely searched for these two species...""",,"""Once all group sightings were plotted on the map, I drew the smallest possible polygon that included all of the group observation points. I counted the number of squares inside this polygon, and multiplied this number by 0.25 ha to estimate the home range size of each group...In many cases, sample sizes were inadequate to accurately determine home range size...I conducted [a] polynomial regression of estimated home range on the number of observations...as an unbiased estimate of home range size.""",2000-2002,-1.13,110.7,,4275.00,,,,900,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillis et al. 2014,,Hylobates,H. albibarbis,"Cabang Panti, Gunung Palung, West Kalimantan","Freshwater swamp, alluvial bench, lowland sandstone, lowland granite, upland granite","Line transect, continuous focal sampling for half an hour",,,2007-2013,-1.13,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berliana et al. 2013,,Hylobates,H. agilis,"Andalas, Kerinci Seblat, West Sumatra",Sumatran lowland rainforest,,,,2012,-0.54,100.28,305,,,,,0.6276,10.90,,,3,15,6,,17,16,14,,,,,,,,,,,,,,,,,,,,,,
Berliana et al. 2013 (D9),,Hylobates,H. agilis,"Andalas, Kerinci Seblat, West Sumatra",Sumatran lowland rainforest,,,,2012,-0.54,100.28,305,,,,,,8.60,,,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Berliana et al. 2013 (G16),,Hylobates,H. agilis,"Andalas, Kerinci Seblat, West Sumatra",Sumatran lowland rainforest,,,,2012,-0.54,100.28,305,,,,,,5.47,,,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Berliana et al. 2013 (J10),,Hylobates,H. agilis,"Andalas, Kerinci Seblat, West Sumatra",Sumatran lowland rainforest,,,,2012,-0.54,100.28,305,,,,,,18.63,,,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyne 2004; Cheyne et al. 2008,,Hylobates,H. albibarbis,"Kalaweit, Bukit Baka Bukit Raya, Central Kalimantan",,Instantaneous focal sampling every five minutes,,,2003-2004,-0.52,112.29,149.00,4275.00,35.00,21.00,,1811.00,,,,1,2,17,1071.0,,,,,45.00,15.00,60.00,33.00,4.00,3.00,3,,,,,,,,,,,,,,
Mather 1992,,Hylobates,H. albibarbis x muelleri,"Rekut, Barito Ulu, Central Kalimantan",,,,,1988-1990,-0.3,,225,4386.0,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryanto et al. 2016,,Hylobates,H. muelleri,"Mugirejo, Samarinda, East Kalimantan, Borneo",Southwest Borneo freshwater swamp forest,,,,2016,-0.28,117.12,180.00,,,,,0.036,3.60,138.89,27.78,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"McConkey et al. 2002, 2003; Mather 1992",,Hylobates,H. albibarbis x muelleri,"Rekut, Barito Ulu, Central Kalimantan",,,,,1996-1997,0.12,,225.00,2585.00,,,,5000,44.50,8.20,2.34,2,8,12,876.0,167,51,36,1,44.70,17.30,62.00,23.80,13.40,0.80,0.8,,,,,,,,,,,,,,
